2008 YV32,2085-2107,10,6.1e-06,8.78,26.4,0.018,-6.19,-6.73,0
2011 BA60,2029-2110,16,8.5e-09,15.30,22.0,0.139,-6.19,-6.39,0
2009 VZ39,2013-2110,789,6.9e-06,6.22,27.9,0.009,-6.22,-7.48,0
2008 EA9,2063-2081,6,2.9e-05,1.28,27.7,0.010,-6.24,-6.67,0
2010 UH,2047-2111,30,1.2e-05,6.74,27.1,0.013,-6.25,-6.95,0
2005 TA,2099-2110,14,2.0e-05,4.81,27.2,0.012,-6.26,-6.55,0
2006 SR131,2071-2107,26,2.9e-05,8.46,28.0,0.009,-6.26,-7.02,0
2012 UU158,2042-2070,4,4.5e-06,12.29,26.9,0.014,-6.27,-6.37,0
2010 CS19,2104-2104,4,3.8e-05,6.82,28.0,0.009,-6.28,-6.30,0
2009 TM8,2079-2110,123,6.0e-05,7.96,28.6,0.007,-6.30,-7.55,0
2007 TX22,2040-2089,40,3.0e-05,8.91,28.4,0.007,-6.31,-6.90,0
2007 DC,2040-2108,33,1.1e-05,6.71,27.5,0.011,-6.32,-6.88,0
2010 NN,2049-2110,26,3.1e-05,7.74,28.3,0.007,-6.35,-6.72,0
2010 TD,2072-2091,5,2.8e-06,18.86,26.9,0.014,-6.36,-6.78,0
2008 KN11,2046-2046,1,3.8e-08,13.83,23.3,0.075,-6.36,0
2008 XC1,2085-2088,2,1.5e-07,11.66,23.7,0.063,-6.36,-6.41,0
2004 FH,2098-2107,3,4.1e-06,6.97,26.1,0.020,-6.36,-6.51,0
2012 BA102,2104-2112,3,6.0e-06,7.24,26.5,0.017,-6.38,-6.39,0
2006 GU2,2060-2110,48,1.9e-05,7.29,27.8,0.009,-6.39,-6.82,0
2011 QF48,2067-2067,2,3.5e-07,19.92,25.3,0.030,-6.40,-6.51,0
2008 CB6,2093-2107,2,9.4e-06,7.42,27.1,0.013,-6.41,-6.55,0
2010 HP20,2021-2071,153,9.8e-06,8.85,28.0,0.009,-6.42,-7.35,0
2010 NH,2089-2092,2,1.4e-06,10.29,25.7,0.025,-6.43,-6.49,0
2008 VL,2021-2093,317,9.5e-06,9.64,27.9,0.009,-6.44,-7.47,0
2010 TN55,2066-2107,18,2.2e-06,25.38,27.0,0.014,-6.45,-6.91,0
1998 DK36,2027-2100,17,5.6e-07,6.19,25.0,0.034,-6.45,-6.48,0
2012 UE,2040-2066,9,9.3e-06,13.21,28.4,0.007,-6.46,-6.69,0
2002 XV90,2101-2101,4,1.1e-06,7.63,25.2,0.031,-6.46,-6.55,0
2005 EL70,2034-2034,1,1.5e-08,35.53,24.1,0.052,-6.47,0
2007 SN6,2022-2059,2,1.5e-07,18.40,25.0,0.033,-6.48,-6.68,0
2012 EP10,2063-2111,44,9.2e-05,2.80,29.2,0.005,-6.48,-6.76,0
2001 YN2,2020-2020,1,3.6e-08,18.49,24.9,0.035,-6.49,0
2005 UL6,2068-2068,2,2.1e-07,11.95,24.5,0.042,-6.50,-6.66,0
2011 UL169,2057-2073,5,1.3e-05,9.35,28.3,0.007,-6.51,-6.57,0
2009 FP32,2073-2104,14,8.2e-06,15.07,27.8,0.010,-6.51,-6.93,0
2007 US51,2079-2102,6,3.9e-06,15.32,27.2,0.012,-6.52,-6.63,0
2009 TB,2014-2082,21,4.9e-06,12.28,29.1,0.005,-6.53,-6.98,0
