2006QN111,75.0*,2079-08-16 11:07,1/574712,-5.37,0,15.37,2364
2001BA16,29.0*,2041-01-15 01:29,1/73529,-5.37,0,12.21,4375
2009BF58,15.0*,2083-01-22 05:37,1/9523,-5.38,0,13.03,1481
1999RZ31,74.0*,2056-09-05 01:15,1/617283,-5.38,0,13.86,4901
1994GV,14.0*,2039-04-11 02:10,1/15082,-5.38,0,13.81,6886
2011BP40,34.0*,2020-09-24 03:48,1/1.13E6,-5.39,0,12.69,672
2001CA21,710.0*,2060-02-13 19:31,1/9.71E8,-5.45,0,32.35,4399
2008KO,55.0*,2052-06-01 14:25,1/1.45E6,-5.49,0,26.06,1729
2011EB,17.0*,2077-02-27 07:36,1/25974,-5.5,0,15.21,672
1995CS,34.0*,2042-02-03 14:41,1/490196,-5.51,0,27.8,6588
2007TC14,160.0*,2082-10-22 10:11,1/1.25E7,-5.52,0,27.89,1954
2012UE34,100.0*,2099-04-08 00:13,1/1.05E6,-5.53,0,12.46,127
2010MY112,270.0*,2018-12-18 17:01,1/5.1E8,-5.53,0,26.14,957
2007DS7,29.0*,2075-02-17 10:08,1/104384,-5.54,0,16.68,2190
2013BL18,27.0*,2086-01-14 07:25,1/97087,-5.54,0,18.06,33
2007VH189,92.0*,2042-06-05 11:33,1/5.35E6,-5.61,0,21.28,1923
2012LJ,32.0*,2072-11-10 21:37,1/289017,-5.62,0,21.77,255
2011SM173,12.0*,2058-09-22 03:53,1/26109,-5.64,0,18.09,509
2007HB15,12.0*,2055-04-25 12:24,1/14367,-5.64,0,12.86,2129
2008ST,16.0*,2080-09-24 11:33,1/19646,-5.68,0,11.64,1611
2005WG57,79.0*,2029-08-21 04:21,1/3.97E6,-5.68,0,14.94,2638
2008EA9,12.0*,2076-12-25 12:23,1/9708,-5.69,0,11.25,1807
2012AP10,22.0*,2069-12-29 16:08,1/52631,-5.69,0,11.73,405
2009OW6,36.0*,2080-08-20 08:44,1/172711,-5.69,0,13.01,1302
2011BF40,46.0*,2083-06-27 12:06,1/662251,-5.7,0,21.61,658
2012EK5,33.0*,2074-03-24 10:18,1/293255,-5.71,0,18.84,337
2005VN5,17.0*,2071-11-12 13:44,1/30581,-5.71,0,12.97,2657
2007CC27,18.0*,2075-02-12 09:59,1/47393,-5.74,0,15.6,2197
